event_time,att,se,ci_lower,ci_upper
-5,0.0032373150666855704,0.011618413162695207,-0.019534774732197033,0.026009404865568176
-4,-0.0019472340278766324,0.011961845595107119,-0.025392451394286586,0.021497983338533318
-3,0.012040913726870071,0.01374683610385625,-0.014902885036688178,0.03898471249042832
-2,0.008504056360643383,0.005815485248513098,-0.0028942947264422886,0.019902407447729052
-1,0,NA,NA,NA
0,0.004496404751791842,0.01172753884784498,-0.018489571389984315,0.027482380893568
1,0.007658483142091599,0.009466481055774365,-0.010895819727226155,0.026212786011409354
2,0.008698017322602909,0.011704940578966245,-0.014243666212170932,0.031639700857376746
3,0.01733113632022438,0.008600404444128542,4.7434360973243675e-4,0.034187929030716324
4,0.005152179533804885,0.02073191889490005,-0.03548238150019921,0.04578674056780897
5,0.021594654506872014,0.01492420537074118,-0.007656788019780699,0.05084609703352473
