M_bar,ATT_point,max_bias,ATT_lower,ATT_upper,excludes_zero,zero_in_ci
0,-0.02715911571233299,0,-0.02715911571233299,-0.02715911571233299,TRUE,FALSE
0.005,-0.02715911571233299,0.02,-0.047159115712332986,-0.007159115712332988,TRUE,FALSE
0.01,-0.02715911571233299,0.04,-0.06715911571233299,0.012840884287667012,FALSE,TRUE
0.015,-0.02715911571233299,0.06,-0.08715911571233298,0.03284088428766701,FALSE,TRUE
0.02,-0.02715911571233299,0.08,-0.107159115712333,0.05284088428766701,FALSE,TRUE
0.025,-0.02715911571233299,0.1,-0.127159115712333,0.07284088428766702,FALSE,TRUE
0.03,-0.02715911571233299,0.12,-0.14715911571233298,0.09284088428766701,FALSE,TRUE
0.035,-0.02715911571233299,0.14,-0.167159115712333,0.11284088428766703,FALSE,TRUE
0.04,-0.02715911571233299,0.16,-0.18715911571233299,0.13284088428766702,FALSE,TRUE
0.045,-0.02715911571233299,0.18,-0.20715911571233298,0.152840884287667,FALSE,TRUE
0.05,-0.02715911571233299,0.2,-0.227159115712333,0.17284088428766703,FALSE,TRUE
