year,comparison_type,n_states,n_obs
2016,Never-treated,42,115874
2016,Not-yet-treated,9,38295
2017,Never-treated,42,114035
2017,Not-yet-treated,9,37785
2018,Never-treated,42,111199
2018,Not-yet-treated,9,36786
2019,Never-treated,42,107356
2019,Not-yet-treated,9,35375
2020,Never-treated,42,93080
2020,Not-yet-treated,9,29821
2021,Never-treated,42,93571
2021,Not-yet-treated,8,28009
2021,Treated,1,1708
2022,Never-treated,42,89482
2022,Not-yet-treated,8,27534
2022,Treated,1,1754
2023,Never-treated,42,84949
2023,Not-yet-treated,5,9474
2023,Treated,4,17441
2024,Never-treated,42,81610
2024,Not-yet-treated,2,4572
2024,Treated,7,20745
