threshold,outcome,ATT,SE,CI_lower,CI_upper,p_value,N_treated_places,N,N_clusters
0.6,binding,NA,NA,NA,NA,NA,NA,2746,47
0.65,binding,NA,NA,NA,NA,NA,NA,2746,47
0.7,binding,0.16780900956006684,0.16281433985525778,-0.15130709655623842,0.4869251156763721,0.3026922730262154,521,2746,47
0.75,binding,NA,NA,NA,NA,NA,NA,2746,47
0.8,binding,-0.24482527420767508,0.14434223862055978,-0.5277360619039723,0.0380855134886221,0.08985854415975703,480,2746,47
0.6,individualizing,NA,NA,NA,NA,NA,NA,2746,47
0.65,individualizing,NA,NA,NA,NA,NA,NA,2746,47
0.7,individualizing,-0.07284807892089494,0.17219001361506853,-0.41034050560642926,0.26464434776463935,0.6722456732257134,521,2746,47
0.75,individualizing,NA,NA,NA,NA,NA,NA,2746,47
0.8,individualizing,-0.0708822410297269,0.1288315576489735,-0.3233920940217149,0.18162761196226113,0.582186898701639,480,2746,47
