Variable,N,Mean_All,SD_All,Mean_Treated,Mean_NeverTreated,Diff,SE_Diff,p_value
individualizing,2751,1.1336099782654407,0.6893911891250205,1.1393244550189772,0.7362340563272024,0.40309039869177477,0.1158856677917547,0.0012554826940528732
binding,2751,1.7292502566803731,0.8726444275838484,1.738633933917641,1.076723778027271,0.6619101558903702,0.1743021767926397,5.030340452718758e-4
universalism_index,2751,-0.5956402784149324,0.6388222668853928,-0.5993094788986639,-0.3404897217000687,-0.25881975719859523,0.08611613861676404,0.004585218504441116
moral_intensity,2751,7.454970726572001,3.7049511790734346,7.494550711790878,4.702639446736217,2.7919112650546607,0.7385916845819674,5.293571006378828e-4
broadband_rate,2751,0.8403042223446623,0.08863420116415417,0.8437999193784679,0.597218828609255,0.24658109076921286,0.012838220390635792,1.4920424081502664e-21
population,2751,68736.7553616866,202651.67637930874,69504.89749262536,15321.333333333334,54183.56415929202,4867.166503164435,3.111527537304712e-24
median_income,2746,65462.46613255639,28590.536840541583,65952.10782865585,30569.052631578947,35383.0551970769,1109.7707044854908,3.325554153567928e-41
pct_college,2751,31.558284388944315,15.939463339105941,31.790190468861795,15.431892370067308,16.358298098794485,1.1484593135089367,4.344346007471571e-18
pct_white,2751,75.65300596225411,19.019250448570993,75.86920980373071,60.61852344726572,15.250686356464989,5.171295185441286,0.005403332219607754
median_age,2751,37.92373682297346,6.736247133920935,37.89218289085546,40.117948717948714,-2.225765827093255,1.662094702782878,0.1883895063567002
n_meetings,2751,29.921119592875318,46.96450451894159,30.117994100294986,16.23076923076923,13.887224869525756,2.7283805748634578,5.926148759633855e-6
rep_share,2751,0.5869051508061313,0.10027619749299392,0.5860555553475153,0.6459847119283614,-0.05992915658084608,0.010385697088346336,9.348737717850412e-7
