Variable,N,Mean_All,SD_All,Mean_Treat,Mean_Ctrl,Difference,t_stat
Individualizing,2751,1.1336099782654407,0.6893911891250205,1.1393244550189772,0.7362340563272024,0.40309039869177477,3.478345565701221
Binding,2751,1.7292502566803731,0.8726444275838484,1.738633933917641,1.076723778027271,0.6619101558903702,3.7974864575433163
Universalism Index,2751,-0.5956402784149324,0.6388222668853928,-0.5993094788986639,-0.3404897217000687,-0.25881975719859523,-3.005473321910086
Moral Intensity,2751,7.454970726572001,3.7049511790734346,7.494550711790878,4.702639446736217,2.7919112650546607,3.780046977694913
Broadband Rate,2751,0.8403042223446623,0.08863420116415417,0.8437999193784679,0.597218828609255,0.24658109076921286,19.20679683525836
Population,2751,68736.7553616866,202651.67637930874,69504.89749262536,15321.333333333334,54183.56415929202,11.132465701361163
Median Income (\$),2746,65462.46613255639,28590.536840541583,65952.10782865585,30569.052631578947,35383.0551970769,31.88321249972183
\% College,2751,31.558284388944315,15.939463339105941,31.790190468861795,15.431892370067308,16.358298098794485,14.243689703568409
\% White,2751,75.65300596225411,19.019250448570993,75.86920980373071,60.61852344726572,15.250686356464989,2.9491038143403894
Median Age,2751,37.92373682297346,6.736247133920935,37.89218289085546,40.117948717948714,-2.225765827093255,-1.339132976819318
N Meetings,2751,29.921119592875318,46.96450451894159,30.117994100294986,16.23076923076923,13.887224869525756,5.08991487385177
Republican Vote Share,2751,0.5869051508061313,0.10027619749299392,0.5860555553475153,0.6459847119283614,-0.05992915658084608,-5.770354755300137
