Col1,Col2,Col3,Col4,Col5
\textbf{Panel A: Minimum Detectable Effects (80\% Power)},,,,
\quad Individualizing,0.4821,0.699 SD,0.6894,
\quad Binding,0.4559,0.522 SD,0.8726,
\quad Universalism Index,0.8427,1.319 SD,0.6388,
\quad Log Ratio,0.5717,1.206 SD,0.4742,
\textbf{Panel B: Equivalence Tests (TOST)},,,,
\quad $\delta = 0.05$ SD,Fail to reject,$p = 0.588$,,
\quad $\delta = 0.10$ SD,Fail to reject,$p = 0.509$,,
\quad $\delta = 0.15$ SD,Fail to reject,$p = 0.430$,,
\quad $\delta = 0.05$ SD,Fail to reject,$p = 0.777$,,
\quad $\delta = 0.10$ SD,Fail to reject,$p = 0.690$,,
\quad $\delta = 0.15$ SD,Fail to reject,$p = 0.590$,,
\quad $\delta = 0.05$ SD,Fail to reject,$p = 0.756$,,
\quad $\delta = 0.10$ SD,Fail to reject,$p = 0.722$,,
\quad $\delta = 0.15$ SD,Fail to reject,$p = 0.685$,,
\quad $\delta = 0.05$ SD,Fail to reject,$p = 0.701$,,
\quad $\delta = 0.10$ SD,Fail to reject,$p = 0.659$,,
\quad $\delta = 0.15$ SD,Fail to reject,$p = 0.616$,,
\textbf{Panel C: Comparison to Enke (2020) Effect Sizes},,,,
\quad Enke (2020): Internet $\rightarrow$ Universalism (cross-sectional),0.15--0.25 SD,,,
\quad Enke (2020): Urbanization $\rightarrow$ Universalism,0.20--0.35 SD,,,
\quad Our MDE (80\% power): 1.319 SD,Cannot detect Enke-sized effects,,,
