Variable,N_Treated,N_Control,Mean_Treated,SD_Treated,Mean_Control,SD_Control,Difference,Norm_Diff,p_value,Balanced
Individualizing,80,9,1.030147786705801,0.5343341909616977,0.7589907078587347,0.7272148980973708,0.2711570788470664,0.4249415372907374,0.30566719042244955,FALSE
Binding,80,9,1.6483173755256617,0.8375295874080892,1.1432707847228214,1.1395206969848755,0.5050465908028403,0.5050512336792554,0.22888883589536377,FALSE
Universalism Index,80,9,-0.6181695888198604,0.5838771974457228,-0.3842800768640868,0.5285112683526431,-0.23388951195577362,-0.4199977854665287,0.24067034857673192,FALSE
Log Ratio (Ind./Bind.),80,9,-0.41369809792321555,0.367590623196853,-0.21589252578148005,0.2906915109593774,-0.1978055721417355,-0.5969159788203077,0.0866891263897262,FALSE
Moral Intensity,80,9,7.005247699988587,3.3662281462913284,4.947793769885934,4.805213980495231,2.0574539301026533,0.49594070916740624,0.2429902798499191,FALSE
Care,80,9,1.6475721965177985,0.908253134811247,1.2480672131016348,1.2026316958787902,0.3995049834161637,0.3748910213570635,0.35910095291052935,FALSE
Fairness,80,9,0.4127233768938039,0.2524241046565389,0.2699142026158345,0.26876519816040645,0.1428091742779694,0.5477435229098477,0.1604521832546142,FALSE
Loyalty,80,9,2.1525064266932397,1.3523415189306014,1.2794903385348069,1.2913088379478908,0.8730160881584328,0.6602866567447725,0.08446764843145316,FALSE
Authority,80,9,2.0313029099479936,1.0825501523474004,1.5795011169580828,1.6377746772483246,0.45180179298991074,0.3254577792347652,0.44039209813961366,FALSE
Sanctity,80,9,0.7611427899357517,0.4093817499682269,0.5708208986755747,0.5821423091973607,0.19032189126017696,0.37819977790509923,0.36495114298399856,FALSE
Broadband Rate,80,9,0.6466280118802348,0.04884088015946854,0.5993025899231579,0.06550951491456367,0.047325421957076896,0.8190702318069056,0.06475729547175565,FALSE
Population,80,9,20475.444166666668,28307.81184840438,13367.181481481482,17992.805113534745,7108.262685185186,0.2997009141218669,0.31368432199538215,FALSE
Median Income,80,9,39065.571875,7030.687198465198,30515.596296296295,4924.861407143139,8549.975578703707,1.4086102738848323,5.136417793718658e-4,FALSE
\% College,80,9,17.483521242026253,6.592763458595456,15.675726667626929,5.952865310538465,1.807794574399324,0.28782098159888564,0.4124338905536944,FALSE
\% White,80,9,73.43427010543529,22.383469539702997,65.95268639935563,31.39244924718101,7.481583706079661,0.27442600635023656,0.5045022321030973,FALSE
Median Age,80,9,37.98175,6.320787862707036,41.64351851851852,10.975351438452023,-3.661768518518521,-0.4088737407295905,0.35255096230252214,FALSE
N Meetings,80,9,18.05979166666667,14.783668026634318,14.631481481481481,12.791084255048636,3.428310185185188,0.24800906924073804,0.46980194787937646,TRUE
N Total Words,80,9,131981.713125,172872.6911889402,43062.78333333333,63523.60771266787,88918.92979166668,0.6827786296625193,0.004708496390767249,FALSE
