lb,ub,method,Delta,M,includes_zero,outcome
-0.3469268052597254,0.12214931702324196,FLCI,DeltaSD,0,TRUE,individualizing
-0.7167332161869838,0.4434629773111326,FLCI,DeltaSD,0.05,TRUE,individualizing
-1.021641424498725,0.7896014968077929,FLCI,DeltaSD,0.1,TRUE,individualizing
-1.2607478714268765,1.1478136678419335,FLCI,DeltaSD,0.15000000000000002,TRUE,individualizing
-1.5556880486441913,1.414563835237825,FLCI,DeltaSD,0.2,TRUE,individualizing
-1.8484496965228363,1.674874903189662,FLCI,DeltaSD,0.25,TRUE,individualizing
-2.1396416768472513,1.926560944695083,FLCI,DeltaSD,0.30000000000000004,TRUE,individualizing
-2.4306900460803624,2.165484326538096,FLCI,DeltaSD,0.35000000000000003,TRUE,individualizing
-2.725297902335731,2.382714919732555,FLCI,DeltaSD,0.4,TRUE,individualizing
-2.9752979023351744,2.6327149197319986,FLCI,DeltaSD,0.45,TRUE,individualizing
-3.2252979023346184,2.8827149197314426,FLCI,DeltaSD,0.5,TRUE,individualizing
-0.04506742488394519,0.5365705523805541,FLCI,DeltaSD,0,TRUE,binding
-0.4044944955979849,0.8773019498722184,FLCI,DeltaSD,0.05,TRUE,binding
-0.751567286772218,1.190049012840789,FLCI,DeltaSD,0.1,TRUE,binding
-1.0265802605996304,1.4664749349022097,FLCI,DeltaSD,0.15000000000000002,TRUE,binding
-1.3030127660771214,1.7226628988571966,FLCI,DeltaSD,0.2,TRUE,binding
-1.579008903000268,1.97184821295998,FLCI,DeltaSD,0.25,TRUE,binding
-1.852829872497453,2.215211150030635,FLCI,DeltaSD,0.30000000000000004,TRUE,binding
-2.124820964006975,2.4511310332195877,FLCI,DeltaSD,0.35000000000000003,TRUE,binding
-2.3797716508515685,2.6964979369930977,FLCI,DeltaSD,0.4,TRUE,binding
-2.629771650821529,2.946497936963058,FLCI,DeltaSD,0.45,TRUE,binding
-2.8797716507914894,3.196497936933018,FLCI,DeltaSD,0.5,TRUE,binding
