state_abbr,state_name,year,opioid_deaths,predicted_deaths,opioid_deaths_clean,total_overdose_deaths,total_predicted,total_overdose_clean,mandate_year,has_mandate,treated,post,rel_year,cohort
AK,Alaska,2015,NA,NA,NA,121,121,121,NA,FALSE,0,NA,NA,0
AK,Alaska,2016,96,96,96,129,129,129,NA,FALSE,0,NA,NA,0
AK,Alaska,2017,100,100,100,141,141,141,NA,FALSE,0,NA,NA,0
AK,Alaska,2018,65,65,65,105,105,105,NA,FALSE,0,NA,NA,0
AK,Alaska,2019,83,83,83,133,133,133,NA,FALSE,0,NA,NA,0
AK,Alaska,2020,102,102,102,146,146,146,NA,FALSE,0,NA,NA,0
AK,Alaska,2021,198,198,198,255,255,255,NA,FALSE,0,NA,NA,0
AK,Alaska,2022,185,185,185,247,247,247,NA,FALSE,0,NA,NA,0
AK,Alaska,2023,286,286,286,357,357,357,NA,FALSE,0,NA,NA,0
AK,Alaska,2024,276,276,276,339,339,339,NA,FALSE,0,NA,NA,0
AL,Alabama,2015,NA,NA,NA,720,748,720,2019,TRUE,0,FALSE,-4,2019
AL,Alabama,2016,NA,NA,NA,740,764,740,2019,TRUE,0,FALSE,-3,2019
AL,Alabama,2017,NA,NA,NA,807,816,807,2019,TRUE,0,FALSE,-2,2019
AL,Alabama,2018,NA,NA,NA,740,753,740,2019,TRUE,0,FALSE,-1,2019
AL,Alabama,2019,NA,NA,NA,739,757,739,2019,TRUE,1,TRUE,0,2019
AL,Alabama,2020,NA,NA,NA,989,1012,989,2019,TRUE,1,TRUE,1,2019
AL,Alabama,2021,NA,NA,NA,1333,1339,1333,2019,TRUE,1,TRUE,2,2019
AL,Alabama,2022,1076,1105,1076,1452,1491,1452,2019,TRUE,1,TRUE,3,2019
AL,Alabama,2023,1196,1225,1196,1598,1637,1598,2019,TRUE,1,TRUE,4,2019
AL,Alabama,2024,797,807,797,1176,1189,1176,2019,TRUE,1,TRUE,5,2019
AR,Arkansas,2015,NA,NA,NA,381,381,381,2017,TRUE,0,FALSE,-2,2017
AR,Arkansas,2016,NA,NA,NA,386,386,386,2017,TRUE,0,FALSE,-1,2017
AR,Arkansas,2017,NA,NA,NA,425,425,425,2017,TRUE,1,TRUE,0,2017
AR,Arkansas,2018,NA,NA,NA,433,433,433,2017,TRUE,1,TRUE,1,2017
AR,Arkansas,2019,NA,NA,NA,362,362,362,2017,TRUE,1,TRUE,2,2017
AR,Arkansas,2020,NA,NA,NA,514,514,514,2017,TRUE,1,TRUE,3,2017
AR,Arkansas,2021,NA,NA,NA,627,627,627,2017,TRUE,1,TRUE,4,2017
AR,Arkansas,2022,359,359,359,591,591,591,2017,TRUE,1,TRUE,5,2017
AR,Arkansas,2023,312,312,312,517,517,517,2017,TRUE,1,TRUE,6,2017
AR,Arkansas,2024,163,164,163,389,391,389,2017,TRUE,1,TRUE,7,2017
AZ,Arizona,2015,NA,NA,NA,1267,1293,1267,2017,TRUE,0,FALSE,-2,2017
AZ,Arizona,2016,NA,NA,NA,1393,1523,1393,2017,TRUE,0,FALSE,-1,2017
AZ,Arizona,2017,936,964,936,1555,1601,1555,2017,TRUE,1,TRUE,0,2017
AZ,Arizona,2018,1134,1143,1134,1730,1744,1730,2017,TRUE,1,TRUE,1,2017
AZ,Arizona,2019,1326,1326,1326,1981,1982,1981,2017,TRUE,1,TRUE,2,2017
AZ,Arizona,2020,1928,1937,1928,2644,2657,2644,2017,TRUE,1,TRUE,3,2017
AZ,Arizona,2021,2034,2034,2034,2780,2780,2780,2017,TRUE,1,TRUE,4,2017
AZ,Arizona,2022,1965,1965,1965,2737,2737,2737,2017,TRUE,1,TRUE,5,2017
AZ,Arizona,2023,2009,2009,2009,2720,2720,2720,2017,TRUE,1,TRUE,6,2017
AZ,Arizona,2024,1727,1731,1727,2531,2535,2531,2017,TRUE,1,TRUE,7,2017
CA,California,2015,NA,NA,NA,4762,4982,4762,NA,FALSE,0,NA,NA,0
CA,California,2016,NA,NA,NA,4755,4982,4755,NA,FALSE,0,NA,NA,0
CA,California,2017,NA,NA,NA,5028,5240,5028,NA,FALSE,0,NA,NA,0
CA,California,2018,NA,NA,NA,5494,5636,5494,NA,FALSE,0,NA,NA,0
CA,California,2019,3324,3425,3324,6363,6557,6363,NA,FALSE,0,NA,NA,0
CA,California,2020,5707,5973,5707,9209,9637,9209,NA,FALSE,0,NA,NA,0
CA,California,2021,7538,7959,7538,11398,12032,11398,NA,FALSE,0,NA,NA,0
CA,California,2022,7929,8286,7929,11761,12289,11761,NA,FALSE,0,NA,NA,0
CA,California,2023,8653,8935,8653,12369,12773,12369,NA,FALSE,0,NA,NA,0
CA,California,2024,5929,6087,5929,9687,9937,9687,NA,FALSE,0,NA,NA,0
CO,Colorado,2015,NA,NA,NA,913,913,913,NA,FALSE,0,NA,NA,0
CO,Colorado,2016,NA,NA,NA,965,965,965,NA,FALSE,0,NA,NA,0
CO,Colorado,2017,NA,NA,NA,1040,1040,1040,NA,FALSE,0,NA,NA,0
CO,Colorado,2018,568,568,568,1004,1004,1004,NA,FALSE,0,NA,NA,0
CO,Colorado,2019,644,644,644,1100,1100,1100,NA,FALSE,0,NA,NA,0
CO,Colorado,2020,987,987,987,1512,1512,1512,NA,FALSE,0,NA,NA,0
CO,Colorado,2021,1300,1300,1300,1917,1917,1917,NA,FALSE,0,NA,NA,0
CO,Colorado,2022,1207,1207,1207,1856,1856,1856,NA,FALSE,0,NA,NA,0
CO,Colorado,2023,1348,1348,1348,1926,1926,1926,NA,FALSE,0,NA,NA,0
CO,Colorado,2024,1016,1016,1016,1640,1640,1640,NA,FALSE,0,NA,NA,0
CT,Connecticut,2015,686,686,686,799,799,799,2016,TRUE,0,FALSE,-1,2016
CT,Connecticut,2016,869,869,869,974,974,974,2016,TRUE,1,TRUE,0,2016
CT,Connecticut,2017,967,967,967,1080,1080,1080,2016,TRUE,1,TRUE,1,2016
CT,Connecticut,2018,957,957,957,1070,1070,1070,2016,TRUE,1,TRUE,2,2016
CT,Connecticut,2019,1119,1136,1119,1231,1250,1231,2016,TRUE,1,TRUE,3,2016
CT,Connecticut,2020,1258,1258,1258,1385,1385,1385,2016,TRUE,1,TRUE,4,2016
CT,Connecticut,2021,1411,1411,1411,1562,1562,1562,2016,TRUE,1,TRUE,5,2016
CT,Connecticut,2022,1345,1345,1345,1476,1476,1476,2016,TRUE,1,TRUE,6,2016
