state_abbr,mandate_year,effective_month,first_naep_exposure,universal,intervention_req,teacher_training,funding,mandate_strength,mandate_strength_cat,bundled_reform
TX,1995,9,2003,TRUE,TRUE,TRUE,TRUE,4,Strong,FALSE
VA,2010,7,2011,FALSE,FALSE,FALSE,FALSE,0,Weak,FALSE
OH,2012,7,2013,FALSE,TRUE,FALSE,FALSE,1,Weak,FALSE
NJ,2013,9,2015,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
MS,2013,7,2015,TRUE,TRUE,TRUE,TRUE,4,Strong,TRUE
AZ,2015,7,2017,FALSE,TRUE,FALSE,FALSE,1,Weak,FALSE
AR,2015,7,2017,TRUE,TRUE,TRUE,FALSE,3,Strong,FALSE
CT,2015,7,2017,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
ME,2015,7,2017,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
NV,2015,7,2017,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
NH,2016,7,2017,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
MO,2016,8,2017,TRUE,FALSE,FALSE,FALSE,1,Weak,FALSE
LA,2017,7,2019,FALSE,TRUE,FALSE,FALSE,1,Weak,FALSE
NE,2018,7,2019,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
SC,2018,7,2019,TRUE,TRUE,TRUE,FALSE,3,Strong,FALSE
GA,2019,7,2022,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
MD,2019,7,2022,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
MT,2019,7,2022,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
TN,2019,7,2022,TRUE,TRUE,TRUE,TRUE,4,Strong,TRUE
UT,2019,7,2022,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
OK,2020,7,2022,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
FL,2021,7,2022,TRUE,TRUE,TRUE,TRUE,4,Strong,TRUE
AL,2022,7,NA,TRUE,TRUE,TRUE,TRUE,4,Strong,TRUE
AK,2022,7,NA,TRUE,TRUE,TRUE,FALSE,3,Strong,FALSE
DE,2022,7,NA,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
ID,2022,7,NA,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
WY,2022,7,NA,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
CA,2023,7,NA,TRUE,TRUE,FALSE,FALSE,2,Moderate,FALSE
