Variable,credit_score,student_loan,delinquency,ec,friending_bias,clustering,pct_gop_2020,gop_change_16_24,hhinc_median_2010,frac_coll_2010,popdensity
credit_score,1,-0.14113381546645723,-0.9832388008302415,0.8228525548144777,-0.21007503545171166,-0.24382374961303205,0.014813535814440086,-0.15954994333369601,0.47847911289169437,0.4234355832416524,0.005791804932643769
student_loan,-0.14113381546645723,1,0.1456547020028288,-0.11853260464240004,0.18903079268137954,-0.00980389454655817,-0.5390960027093135,-0.05950081206269014,0.01384012840913481,0.30534003831122747,0.1065256764430383
delinquency,-0.9832388008302415,0.1456547020028288,1,-0.7933972584693556,0.22224126623453538,0.19254414374580658,-0.017741173953612945,0.1646359377401746,-0.4230469128760159,-0.38892776257216016,0.007346384446407987
ec,0.8228525548144777,-0.11853260464240004,-0.7933972584693556,1,-0.4346851852264403,-0.2859321399917612,0.05539261715524374,-0.20083315613266092,0.5577195229004018,0.46497971799244797,0.01534713523975696
friending_bias,-0.21007503545171166,0.18903079268137954,0.22224126623453538,-0.4346851852264403,1,-0.20301967079305952,-0.418775069532981,-0.034348545624888815,0.06426218053485251,0.12928227159795558,0.08608244933025203
clustering,-0.24382374961303205,-0.00980389454655817,0.19254414374580658,-0.2859321399917612,-0.20301967079305952,1,0.23906670991067971,0.25311232720326887,-0.5631175528501978,-0.5423438781642954,-0.18005478470897612
pct_gop_2020,0.014813535814440086,-0.5390960027093135,-0.017741173953612945,0.05539261715524374,-0.418775069532981,0.23906670991067971,1,0.07754506594062582,-0.3095471756308355,-0.5737496861332299,-0.2541825349291408
gop_change_16_24,-0.15954994333369601,-0.05950081206269014,0.1646359377401746,-0.20083315613266092,-0.034348545624888815,0.25311232720326887,0.07754506594062582,1,-0.3293321057571303,-0.3816084316463511,0.04644123374768346
hhinc_median_2010,0.47847911289169437,0.01384012840913481,-0.4230469128760159,0.5577195229004018,0.06426218053485251,-0.5631175528501978,-0.3095471756308355,-0.3293321057571303,0.9999999999999999,0.6920159329728771,0.1346760929655815
frac_coll_2010,0.4234355832416524,0.30534003831122747,-0.38892776257216016,0.46497971799244797,0.12928227159795558,-0.5423438781642954,-0.5737496861332299,-0.3816084316463511,0.6920159329728771,1,0.22254275875953958
popdensity,0.005791804932643769,0.1065256764430383,0.007346384446407987,0.01534713523975696,0.08608244933025203,-0.18005478470897612,-0.2541825349291408,0.04644123374768346,0.1346760929655815,0.22254275875953958,1
