canton_abbr,yes_share,turnout,treated,lang
BS,72.8,47.2,TRUE,German
GE,71.5,38.1,FALSE,French
NE,68.2,37.8,FALSE,French
VD,67.4,38.9,FALSE,French
BE,62.5,41.7,TRUE,German
ZH,62.3,44.5,FALSE,German
JU,61.8,40.2,FALSE,French
FR,61.4,39.8,FALSE,French
BL,61.2,45.1,TRUE,German
TI,58.7,37.2,FALSE,Italian
SO,57.2,41.6,FALSE,German
ZG,55.8,44.1,FALSE,German
GR,55.4,43.8,TRUE,German
AG,54.8,42.3,TRUE,German
SH,54.6,44.8,FALSE,German
VS,53.1,39.4,FALSE,French
SG,52.8,42.2,FALSE,German
AR,52.3,41.9,FALSE,German
LU,52.1,40.8,FALSE,German
TG,51.4,43.7,FALSE,German
GL,47.9,38.4,FALSE,German
NW,47.3,41.2,FALSE,German
SZ,43.5,42.7,FALSE,German
OW,42.8,39.5,FALSE,German
AI,42.1,45.3,FALSE,German
UR,38.2,40.1,FALSE,German
