border_pair,estimate,se,ci_lower,ci_upper,n,same_language
POOLED (all borders),-1.1662016476717127,1.0975329238675675,-3.3173266502990852,0.9849233549556597,2108,NA
AG-ZH,-1.8810474534917319,2.0850962327729543,-5.9677609740268664,2.2056660670434027,331,TRUE
GR-TI,0.4718458575476987,5.9044483467722735,-11.100660250703017,12.044351965798414,120,FALSE
BE-SO,4.483062239660924,4.804936920414868,-4.934441072339014,13.900565551660863,169,TRUE
AG-LU,-0.2382846728887884,5.318113393442579,-10.66159538973633,10.185026043958754,118,TRUE
AG-SO,-0.0396256062868261,6.556806556716789,-12.890730311047811,12.811479098474159,73,TRUE
BE-FR,-7.325483400769471,4.6363167667215945,-16.412497284462987,1.7615304829240426,293,FALSE
GR-SG,13.061570307492985,2.446241364580544,8.267025335423005,17.856115279562964,168,TRUE
BE-LU,-6.617451051099415,2.371620396032077,-11.265741612322905,-1.969160489875926,101,TRUE
BE-VS,-19.458326491646396,10.871412227304628,-40.76590291825183,1.8492499349590403,121,FALSE
BE-JU,-7.2565516423901855,5.423850282833611,-17.887102854281444,3.3739995695010734,51,FALSE
