canton,yes_share,year,treated,language,in_force_year,D_ct,canton_id
ZH,38.262905462113714,2000,FALSE,German,NA,0,26
BE,33.276318020287334,2000,TRUE,German,2012,0,4
LU,28.167160877302333,2000,FALSE,German,2018,0,12
UR,26.066263506340565,2000,FALSE,German,NA,0,22
SZ,23.181667490865024,2000,FALSE,German,NA,0,19
OW,25.093327762336113,2000,FALSE,German,NA,0,15
NW,24.36081474091627,2000,FALSE,German,NA,0,14
GL,26.767969235445726,2000,FALSE,German,NA,0,9
ZG,28.05745509944051,2000,FALSE,German,NA,0,25
FR,20.96695037504128,2000,FALSE,French,2020,0,7
SO,27.36091223202768,2000,FALSE,German,NA,0,18
BS,42.489092540986825,2000,TRUE,German,2017,0,6
BL,34.64535270795754,2000,TRUE,German,2016,0,5
SH,31.720087525531998,2000,FALSE,German,NA,0,17
AR,29.43512023178647,2000,FALSE,German,NA,0,3
AI,NA,2000,FALSE,German,2021,0,2
SG,28.49214359345226,2000,FALSE,German,NA,0,16
GR,36.75200740944775,2000,TRUE,German,2011,0,10
AG,25.13168516731753,2000,TRUE,German,2013,0,1
TG,27.998077864335723,2000,FALSE,German,NA,0,20
TI,30.855726551551335,2000,FALSE,Italian,NA,0,21
VD,30.1994196510561,2000,FALSE,French,NA,0,23
VS,28.086022306072806,2000,FALSE,French,NA,0,24
NE,30.57989724509921,2000,FALSE,French,NA,0,13
GE,36.28064984960678,2000,FALSE,French,NA,0,8
JU,26.44009504953536,2000,FALSE,French,NA,0,11
ZH,75.72077783308836,2003,FALSE,German,NA,0,26
BE,80.12990816128949,2003,TRUE,German,2012,0,4
LU,77.00275266103226,2003,FALSE,German,2018,0,12
UR,62.68683615813625,2003,FALSE,German,NA,0,22
SZ,60.737009017345166,2003,FALSE,German,NA,0,19
OW,66.785044523013525,2003,FALSE,German,NA,0,15
NW,74.07258594161934,2003,FALSE,German,NA,0,14
GL,66.32246062481629,2003,FALSE,German,NA,0,9
ZG,75.17410125867676,2003,FALSE,German,NA,0,25
FR,80.88814347381391,2003,FALSE,French,2020,0,7
SO,77.20453543009602,2003,FALSE,German,NA,0,18
BS,78.09746151995006,2003,TRUE,German,2017,0,6
BL,78.67468659720059,2003,TRUE,German,2016,0,5
SH,62.7982383049553,2003,FALSE,German,NA,0,17
AR,74.70411708980117,2003,FALSE,German,NA,0,3
AI,69.66504446181699,2003,FALSE,German,2021,0,2
SG,72.72294319148916,2003,FALSE,German,NA,0,16
GR,70.31861293567353,2003,TRUE,German,2011,0,10
AG,75.16105718580842,2003,TRUE,German,2013,0,1
TG,70.18435650147065,2003,FALSE,German,NA,0,20
TI,73.17299545752884,2003,FALSE,Italian,NA,0,21
VD,81.97028078671008,2003,FALSE,French,NA,0,23
VS,68.83736470425569,2003,FALSE,French,NA,0,24
