State,Year Adopted,% of Federal (2019),Refundable
Maryland,1987,28,Yes
Vermont,1988,36,Yes
Wisconsin,1989,11,Yes
Minnesota,1991,25,Yes
New York,1994,30,Yes
Massachusetts,1997,30,Yes
Oregon,1997,12,Yes
Kansas,1998,17,Yes
Colorado,1999,10,Yes
Indiana,1999,9,Yes
District of Columbia,2000,40,Yes
Illinois,2000,18,Yes
Maine,2000,5,No
New Jersey,2000,40,Yes
Rhode Island,2001,15,Yes
Oklahoma,2002,5,Yes
Virginia,2004,20,No
Delaware,2006,20,No
Nebraska,2006,10,Yes
Iowa,2007,15,Yes
New Mexico,2007,17,Yes
Louisiana,2008,5,Yes
Michigan,2008,6,Yes
Connecticut,2011,30.5,Yes
Ohio,2013,30,No
California,2015,85,Yes
Hawaii,2018,20,No
South Carolina,2018,104.17,No
Montana,2019,3,Yes
Washington,2023,50,Yes
