state_abbr,Total Crashes,Total Fatalities,Fatals/Crash,% THC Tested,% THC Positive,% Alcohol Positive,Legal Status
CA,83282,92998,1.12,100,5.2,35.9,Wave 3 (2016-17)
AZ,20499,23414,1.14,100,2,36.5,Wave 4 (2020+)
CO,13052,13691,1.05,100,7.3,36.1,Pioneer (2012)
WA,10792,11945,1.11,100,6.6,41.6,Pioneer (2012)
OR,10051,10927,1.09,100,1.6,37.7,Wave 2 (2014-15)
KS,8869,9783,1.1,100,1.6,37.6,Never Legal
NM,8639,9992,1.16,100,5.4,35.8,Wave 4 (2020+)
NV,7102,7916,1.11,100,7.2,34.5,Wave 3 (2016-17)
ID,5305,5973,1.13,100,2.6,35.8,Never Legal
NE,5255,6106,1.16,100,1.4,35.7,Never Legal
UT,4842,5638,1.16,100,4.5,39.6,Never Legal
MT,4624,5202,1.12,100,4.3,32.1,Wave 4 (2020+)
WY,3070,3561,1.16,100,3,34.4,Never Legal
AK,1267,1327,1.05,100,8.4,47.1,Wave 2 (2014-15)
