Variable,Low/Medium Automation,High Automation,Overall
N,66667,33333,100000
Not in Labor Force (%),38.73702652594695,39.47880410015654,38.98386834876445
Age (years),62.509145901708195,62.51266296996199,62.510316278879095
Female (%),49.86542026915946,50.04788103559702,49.926137861259924
College+ (%),35.018533962932075,34.77231484836629,34.936599462395726
Foreign-born (%),14.790402419195162,15.008755733092341,14.86306399848064
Personal Income ($),50658.50013285805,50463.76634236689,50593.69843828012
Has Disability (%),15.14016571966856,14.918287042718065,15.066331002946159
Married (%),55.023021953956096,54.721864116989494,54.92280545777552
Homeowner (%),80.13118373763253,79.88236182952716,80.0483831037375
Has Medicare (%),38.500146999706004,38.70154330923883,38.5671657852318
Has Employer Ins (%),39.701308597382805,40.34010934199908,39.913882751281
