border_pair,estimate,se,pvalue,n,bandwidth
AG-ZH,-0.8120231307126531,4.013066713019882,0.8396471887940022,189,4.290782536855194
BE-FR,-10.280940054679029,4.204410398298164,0.014474169034182405,165,5.266970107859555
BE-SO,-8.400646575816666,6.978113064219923,0.2286450581838834,167,1.711831596046997
BE-LU,4.20995044150262,5.976892908871498,0.48120171871292367,92,4.528064473732319
BE-JU,-117.7978421460225,133.73526676460003,0.3784106203093048,57,1.2745639674277247
BE-NE,-81.04300575132757,56.60541960341073,0.15222450439260424,31,1.3965377795311202
BE-VS,28.678058676812412,30.469791714063827,0.3466042144202958,81,4.815254288537101
BE-OW,NA,NA,NA,12,NA
BE-UR,NA,NA,NA,8,NA
BE-VD,NA,NA,NA,17,NA
AG-LU,-11.493819131613563,6.394983057564595,0.07228512609946261,107,2.385095429910245
GR-UR,NA,NA,NA,12,NA
BE-NW,NA,NA,NA,6,NA
GL-GR,NA,NA,NA,10,NA
AG-ZG,NA,NA,NA,15,NA
BL-SO,NA,NA,NA,117,NA
AG-SO,54.17217035087193,34.40060150134851,0.11531534887784659,83,1.1846770280228542
BL-JU,NA,NA,NA,17,NA
GR-SG,NA,NA,NA,44,NA
GR-TI,-0.24675893954118777,13.824311304525054,0.9857588063992261,48,4.089901097587284
