canton_abbr,treated,lang,n_gemeinden,mean_yes,mean_turnout
GE,FALSE,French,46,72.80467785204348,47.02487591669565
VD,FALSE,French,301,68.62707447528571,47.99992954101329
NE,FALSE,French,24,65.62706215479167,39.88857184629167
VS,FALSE,French,123,61.25491902230081,45.191611963715445
BS,TRUE,German,4,60.38388918125,49.5324726725
FR,FALSE,French,122,60.135219198106554,39.84979474459836
JU,FALSE,French,50,58.66444902854,38.17289411986
AI,FALSE,German,6,58.14053817733333,34.03300592083333
TI,FALSE,Italian,100,56.69452480475,44.06870392063
GR,TRUE,German,100,56.45696542922,39.68113090107
LU,FALSE,German,80,53.8152542194,45.8072188509
ZG,FALSE,German,11,52.063472322636365,47.128256641545455
ZH,FALSE,German,161,51.41996570795652,47.28904844793168
AR,FALSE,German,20,51.178808468599996,44.7884264111
BL,TRUE,German,86,49.937955963848836,43.76429862733721
TG,FALSE,German,81,49.39590952067901,41.03172752448148
SG,FALSE,German,76,49.265134251894736,41.37277778473684
OW,FALSE,German,7,49.13696925142857,48.315472002285716
NW,FALSE,German,11,48.84229327972727,44.934348303
SO,FALSE,German,106,48.03953920970755,45.532552861009435
BE,TRUE,German,328,46.84314190944817,40.79659854642073
UR,FALSE,German,20,46.2600873664,37.7036685888
SH,FALSE,German,26,45.225660654884614,68.56264719065385
AG,TRUE,German,198,44.134845427343436,42.750644524555554
GL,FALSE,German,3,43.818740842333334,36.206605418
SZ,FALSE,German,30,40.58834795156667,46.31548663343333
