border_pair,estimate,se,pvalue,n,bandwidth
AG-ZH,-0.8120231307137828,4.013066713019041,0.839647188793749,189,4.290782536856043
BE-FR,-10.2809400546804,4.204410398298448,0.014474169034175933,165,5.26697010785517
BE-SO,-8.400646575817497,6.978113064219356,0.2286450581837995,167,1.7118315960471497
BE-LU,4.2099504415026985,5.9768929088714895,0.481201718712915,92,4.528064473732343
BE-JU,-117.79784214602373,133.7352667646006,0.3784106203093019,57,1.274563967427767
BE-NE,-81.04300575133323,56.60541960340333,0.15222450439252205,31,1.396537779530565
BE-VS,28.67805867677862,30.469791714073878,0.3466042144210231,81,4.815254288543229
BE-OW,NA,NA,NA,12,NA
BE-UR,NA,NA,NA,8,NA
BE-VD,NA,NA,NA,17,NA
AG-LU,-11.49381913160915,6.394983057562648,0.07228512609948529,107,2.3850954299105602
GR-UR,NA,NA,NA,12,NA
BE-NW,NA,NA,NA,6,NA
GL-GR,NA,NA,NA,10,NA
AG-ZG,NA,NA,NA,15,NA
BL-SO,NA,NA,NA,117,NA
AG-SO,54.17217035089377,34.40060150136376,0.1153153488778612,83,1.1846770280228158
BL-JU,NA,NA,NA,17,NA
GR-SG,NA,NA,NA,44,NA
GR-TI,-0.24675893954258754,13.824311304522928,0.985758806399143,48,4.0899010975873455
