canton_abbr,treated,lang,n_gemeinden,mean_yes,sd_yes,mean_turnout,total_voters
GE,FALSE,French,46,72.8,4,47,257536
VD,FALSE,French,301,68.6,7.1,48,438711
NE,FALSE,French,24,65.6,7.6,39.9,112089
VS,FALSE,French,123,61.3,7.3,45.2,219864
BS,TRUE,German,4,60.4,14.3,49.5,113968
FR,FALSE,French,122,60.1,8.5,39.8,200033
JU,FALSE,French,50,58.7,10.8,38.2,52701
AI,FALSE,German,6,58.1,5.4,34,11765
TI,FALSE,Italian,100,56.7,6.2,44.1,220335
GR,TRUE,German,100,56.5,7.7,39.7,138212
LU,FALSE,German,80,53.8,6.5,45.8,274607
ZG,FALSE,German,11,52.1,4.3,47.1,75931
ZH,FALSE,German,161,51.4,6.8,47.3,922493
AR,FALSE,German,20,51.2,6.8,44.8,38800
BL,TRUE,German,86,49.9,7.6,43.8,188903
TG,FALSE,German,81,49.4,6.8,41,170472
SG,FALSE,German,76,49.3,6.2,41.4,320996
OW,FALSE,German,7,49.1,3.9,48.3,26573
NW,FALSE,German,11,48.8,6.1,44.9,31047
SO,FALSE,German,106,48,7.8,45.5,178898
BE,TRUE,German,328,46.8,9.4,40.8,733759
UR,FALSE,German,20,46.3,12.6,37.7,26568
SH,FALSE,German,26,45.2,5.7,68.6,51493
AG,TRUE,German,198,44.1,8.4,42.8,420491
GL,FALSE,German,3,43.8,5.5,36.2,26380
SZ,FALSE,German,30,40.6,9.2,46.3,103713
