rel_year,estimate,se,ci_lower,ci_upper
-5,-0.017007748765418666,0.04965974437114595,-0.11434084773286472,0.0803253502020274
-4,8.608035304443301e-4,0.03192871527345702,-0.06171947840553143,0.06344108546642009
-3,0.01498740026669498,0.022952950951782874,-0.030000383598799456,0.05997518413218941
-2,0.003052695775612097,0.009343258411137884,-0.015260090710218156,0.02136548226144235
0,-0.005126789962155007,0.009787758105341039,-0.024310795848623442,0.014057215924313426
1,-0.00806593321304274,0.018257534422555326,-0.04385070068125118,0.0277188342551657
2,-0.011748256777181885,0.027089956243278895,-0.06484457101400852,0.041348057459644746
3,-0.020509062602201714,0.03598769356517485,-0.09104494198994442,0.050026816785540995
4,-0.032346763126962795,0.044892094739458016,-0.1203352688163005,0.05564174256237491
5,-0.06088368861082109,0.05461176168819048,-0.16792274151967443,0.04615536429803224
