Specification,ATT,SE,CI_lower,CI_upper,N
"CS-DiD (baseline, 25-64)",0.921959742380704,0.7440535489290518,-0.5363852135202376,2.3803046982816456,NA
TWFE excl. 2020-2021,-0.15691464779823794,0.8952542497489275,-1.9116129773061359,1.59778368170966,1047
TWFE + COVID death rate,0.1733915314582017,1.0949910376210235,-1.972790902279004,2.3195739651954073,1142
TWFE + COVID year dummies,-0.11668637235908598,1.1149386269604982,-2.301966081201662,2.0685933364834903,1142
CS-DiD excl. 2020-2021,0.2945078968628191,0.7787350049103091,-1.231812712761387,1.8208285064870249,NA
CS-DiD (log mortality),0.07401098840376684,0.09474732796798374,-0.11169377441348129,0.259715751221015,NA
Wild cluster bootstrap,-0.11668637235908627,NA,-2.3718238282737945,2.18163688963227,NA
TWFE + Medicaid expansion,0.053512432726874434,1.1176042259821222,-2.136991850198085,2.2440167156518336,1142
TWFE (all ages),-0.2022563787557466,1.9325602867315304,-3.990074540749546,3.585561783238053,NA
CS-DiD (all ages),1.598063553459888,1.2511501537912713,-0.8541907479710038,4.05031785489078,NA
Placebo: Heart Disease (TWFE),-5.658269250906133,6.872474682257003,-19.12831962812986,7.811781126317594,1142
Placebo: Cancer (TWFE),0.515468683957598,5.3761368364071,-10.021759515400317,11.052696883315514,1142
"Placebo: Heart (CS-DiD, Full)",3.072066623501448,4.384761999749336,-5.52206689600725,11.666200143010148,NA
"Placebo: Cancer (CS-DiD, Full)",1.6391492036621926,3.1967249425309845,-4.626431683698537,7.904730091022922,NA
