Specification,ATT,SE,CI_lower,CI_upper,N
CS-DiD (baseline),1.5240977288855435,1.259887860645532,-0.9452824779796989,3.9934779357507857,NA
TWFE excl. 2020-2021,-0.4067934515566369,1.5904427494030842,-3.524061240386682,2.710474337273408,1062
TWFE + COVID death rate,0.27393875782104005,1.9291926074374237,-3.5072787527563105,4.055156268398391,1157
CS-DiD excl. 2020-2021,0.3367023996549058,1.4594419457402485,-2.5238038139959813,3.197208613305793,NA
CS-DiD (log mortality),0.07112348575420657,0.09813393486818243,-0.121219026587431,0.26346599809584414,NA
Wild cluster bootstrap,-0.242359977233972,NA,-4.216731429340737,3.823476889309401,NA
Placebo: Heart Disease (TWFE),-6.62981258656819,6.833887126795508,-20.024231355087384,6.764606181951005,1157
Placebo: Cancer All Ages (TWFE),-0.34104310542136435,5.383662706829313,-10.893022010806817,10.210935799964087,1157
"Placebo: Heart Disease (CS-DiD, Full Panel)",1.5920937512267588,4.574090553184766,-7.373123733015383,10.557311235468902,NA
"Placebo: Cancer (CS-DiD, Full Panel)",0.6027386774963943,3.174659472294636,-5.619593888201091,6.8250712431938805,NA
