rel_year,estimate,se,ci_lower,ci_upper
-8,-0.08333132174517414,0.010400034330963802,-0.1037153890338632,-0.0629472544564851
-7,-0.044938192111299874,0.0261598914202652,-0.09621157929501967,0.006335195072419912
-6,-0.030333547472060934,0.028011110621732595,-0.08523532429065682,0.02456822934653495
-5,-0.017751379728944243,0.02293119350015297,-0.06269651898924405,0.027193759531355575
-4,-0.005443112215305652,0.01883278170162802,-0.04235536435049657,0.03146913991988527
-3,0.004282336532205892,0.007638942289485094,-0.010689990355184892,0.019254663419596675
-2,-0.0019467248929870705,0.002349584293552758,-0.0065519101083504755,0.002658460322376335
-1,0,NA,NA,NA
0,-0.0012789947777210571,0.003252144730426179,-0.007653198449356368,0.005095208893914254
1,-8.278430845987754e-4,0.00602663127645135,-0.01264004038644342,0.010984354217245869
2,-0.003409636233565325,0.009134934773183768,-0.02131410838900551,0.014494835921874862
3,-0.009336639448547832,0.010607957161951462,-0.030128235485972696,0.011454956588877033
4,-0.011746749119203662,0.012822560286301911,-0.036878967280355404,0.013385469041948084
5,-0.022519696874125108,0.013902760686478662,-0.049769107819623286,0.00472971407137307
6,-0.032392121845534166,0.01854539165042552,-0.0687410894803682,0.003956845789299855
7,-0.022359018661930373,0.0390781270581297,-0.09895214769586458,0.05423411037200384
