specialty,year,active_providers,counties_with_any,total_claims,total_benes,prov_change,prov_change_pct
Behavioral Health,2018,30069,4809,5925944,2204853,,
Behavioral Health,2019,31189,4981,6075675,2277332,0.0372476637068078,3.7
Behavioral Health,2020,30450,4964,6303413,2248031,-0.0236942511783,-2.4
Behavioral Health,2021,36071,5305,7597332,2776542,0.184597701149425,18.5
Behavioral Health,2022,37112,5353,8096719,2942522,0.028859748828699,2.9
Behavioral Health,2023,36841,5317,8069608,2895844,-0.0073022203061005,-0.7
Behavioral Health,2024,25053,3824,5417779,1888607,-0.319969599087973,-32
Dental,2018,53509,6914,36852967,30162918,,
Dental,2019,50496,6703,33449129,28427095,-0.0563082845876395,-5.6
Dental,2020,44647,6325,25825606,21750111,-0.115830956907478,-11.6
Dental,2021,48285,6309,33484645,28387316,0.0814836383183641,8.1
Dental,2022,43063,6026,32225210,27325934,-0.108149528839184,-10.8
Dental,2023,42660,5769,33761605,28570105,-0.00935838190558025,-0.9
Dental,2024,31920,4243,25169938,21369927,-0.251758087201125,-25.2
OB-GYN,2018,8767,1870,2349682,1857935,,
OB-GYN,2019,8202,1694,2475645,1930210,-0.0644462187749515,-6.4
OB-GYN,2020,7570,1602,2333951,1822856,-0.0770543769812241,-7.7
OB-GYN,2021,7922,1575,2681421,2135700,0.0464993394980184,4.6
OB-GYN,2022,7402,1441,2451777,1970289,-0.06563998990154,-6.6
OB-GYN,2023,6958,1338,2386958,1888471,-0.0599837881653608,-6
OB-GYN,2024,4859,917,1493173,1168242,-0.301667145731532,-30.2
Primary Care,2018,89730,6443,29248460,24631883,,
Primary Care,2019,86786,6027,31374867,26279730,-0.032809539730302,-3.3
Primary Care,2020,84247,5714,30636687,24779577,-0.0292558707625654,-2.9
Primary Care,2021,91060,5441,36728948,30753831,0.0808693484634468,8.1
Primary Care,2022,91083,5162,37679190,31357342,0.000252580716011419,0
Primary Care,2023,90282,5024,36411975,30709822,-0.00879417673989657,-0.9
Primary Care,2024,65026,3604,24513578,20554050,-0.279745685740236,-28
Psychiatry,2018,13393,2549,3132646,2169388,,
Psychiatry,2019,13157,2373,3245675,2200425,-0.0176211453744494,-1.8
Psychiatry,2020,12612,2283,3204490,2136196,-0.0414228167515391,-4.1
Psychiatry,2021,12793,2216,3371379,2384300,0.0143514113542658,1.4
Psychiatry,2022,12557,2168,3163795,2318217,-0.0184475885249746,-1.8
Psychiatry,2023,12365,2173,3096027,2301970,-0.0152902763398901,-1.5
Psychiatry,2024,9068,1541,2121506,1535110,-0.266639708855641,-26.7
Surgery,2018,6167,1537,814053,627953,,
Surgery,2019,6690,1532,906804,714084,0.0848062266904492,8.5
Surgery,2020,6202,1383,809836,609875,-0.0729446935724962,-7.3
Surgery,2021,7302,1380,984435,780544,0.17736214124476,17.7
Surgery,2022,7109,1307,952435,758817,-0.0264311147630786,-2.6
Surgery,2023,7172,1258,954932,775586,0.00886200590800401,0.9
Surgery,2024,4918,869,638451,511002,-0.314277746793084,-31.4
