Variable,Mean_Below,SD_Below,Mean_Above,SD_Above,Diff,N_Below,N_Above
Population (2001),345.922291494916,86.2968349885643,641.366931139191,86.5553241134557,295.444639644275,116448,91881
SC Share (2001),0.173529243162865,0.231937735699784,0.186960467538515,0.203878432582754,0.0134312243756497,116448,91881
ST Share (2001),0.237543037478982,0.360688260113417,0.180842244345394,0.307079389905544,-0.0567007931335878,116448,91881
Female Literacy Rate (2001),0.34356283006894,0.186680455759695,0.352078394189906,0.169408231776381,0.00851556412096605,116446,91880
Male Literacy Rate (2001),0.56295610872294,0.180106529119705,0.578112856598906,0.154425073643371,0.0151567478759657,116448,91881
Female LFPR (2001),0.382897415902847,0.221215243570739,0.359810554084008,0.214953406385635,-0.0230868618188383,116446,91880
Male LFPR (2001),0.532551585855443,0.093426504655476,0.529004079738202,0.0839294139385923,-0.00354750611724097,116448,91881
Female Non-Ag Share (2001),0.100914928675305,0.204116367651528,0.112461582549466,0.199735854908543,0.0115466538741606,114410,91333
Male Non-Ag Share (2001),0.168210367691369,0.185667474204158,0.179800523333806,0.17731635858334,0.0115901556424371,116446,91881
Female Non-Ag Share (2011),0.141301150866585,0.222434520458242,0.148869073747734,0.208716506128941,0.00756792288114908,115836,91794
Male Non-Ag Share (2011),0.163670839480264,0.193374681434913,0.174874232057042,0.184869582624409,0.011203392576778,116441,91878
Female LFPR (2011),0.379340215526142,0.231522029065217,0.349940015396138,0.219127652089169,-0.0294002001300036,116441,91879
Male LFPR (2011),0.54601580002278,0.099895301232433,0.540674781634842,0.0899693773763646,-0.00534101838793821,116448,91881
Female Literacy Rate (2011),0.475033130807885,0.165059391468109,0.481645456421081,0.147636037584886,0.00661232561319564,116441,91879
Male Literacy Rate (2011),0.650710412019159,0.151324415279366,0.661194070616555,0.129323692124247,0.0104836585973962,116448,91881
