commodity,estimator,att,se
Onion,TWFE,-0.105355244404973,0.02135567864848
Tomato,TWFE,-0.0314101172233626,0.0189851299157298
Wheat,TWFE,-0.0492197267419703,0.0277009460384403
Soyabean,TWFE,0.0116783271460543,0.00978387929823306
Wheat,CS-DiD,0.0466604716182333,0.0189587925719212
Soyabean,CS-DiD,0.0821455757770389,0.014330129280213
Onion,Sun-Abraham,0.0314866781137953,1.55449301532168
Tomato,Sun-Abraham,0.082661645310622,31.036887368706
Wheat,Sun-Abraham,-0.0207616471243763,0.0238450272031821
Soyabean,Sun-Abraham,-0.00299763442961982,0.0117193409347172
Onion,Placebo,0.0516190290194926,0.0133687788509646
Tomato,Placebo,0.0723848426378343,0.0167416807056714
Wheat,Placebo,-0.00321355670487026,0.0162081851067076
Soyabean,Placebo,0.00194444440533127,0.00995563281925042
