left_out,att,se
Andhra Pradesh,-0.105452627487849,0.021385435454038
Assam,-0.107239892048364,0.0220073987188298
Bihar,-0.105355244404973,0.02135567864848
Chhattisgarh,-0.105355244404973,0.02135567864848
Gujarat,-0.0973825949153557,0.0215353449333616
Haryana,-0.12074219494633,0.0216784555608175
Himachal Pradesh,-0.106948852572474,0.0219318522763361
Jharkhand,-0.110126217548497,0.021623026657078
Karnataka,-0.108819671864635,0.0223446907920956
Kerala,-0.055115579798283,0.0216342212010986
Madhya Pradesh,-0.101310877743471,0.0212696127748581
Maharashtra,-0.0961663723229542,0.0215955785091657
Odisha,-0.107781475279684,0.0222975089098234
Punjab,-0.137767658047293,0.0238175956488665
Rajasthan,-0.103320423789248,0.0214223447980769
Tamil Nadu,-0.105355244404973,0.02135567864848
Telangana,-0.105024073930853,0.0215407169339444
Uttar Pradesh,-0.10632760299457,0.0230508310034298
Uttarakhand,-0.105163080899142,0.0215278620954323
West Bengal,-0.107267227419802,0.0225451765037312
