commodity,shift_months,att,se
Onion,-3,-0.125162629364594,0.0222636094377656
Tomato,-3,-0.0515274835295953,0.0188182448040431
Wheat,-3,-0.024241827562691,0.022348213255073
Soyabean,-3,0.00842301030045953,0.00760037747869964
Onion,-2,-0.119563480632936,0.0222899530776824
Tomato,-2,-0.0506792100023892,0.0185124080752094
Wheat,-2,-0.0264066533873886,0.0240652936308742
Soyabean,-2,0.00851229452370757,0.0081017681687499
Onion,-1,-0.111012752042727,0.0219418201425251
Tomato,-1,-0.0491814017222893,0.0186876943467011
Wheat,-1,-0.0324190702624363,0.0252457226690165
Soyabean,-1,0.0102874147123659,0.00905106150844588
Onion,0,-0.10245508356894,0.0211656789912716
Tomato,0,-0.0327632756411939,0.0188840996067888
Wheat,0,-0.0400813759528387,0.0267241248768745
Soyabean,0,0.011415430602603,0.00945534986511601
Onion,1,-0.0940259399769333,0.0202063409240274
Tomato,1,-0.00861226637015907,0.0188533216966179
Wheat,1,-0.053915711968368,0.0277937791303048
Soyabean,1,0.0116594832941779,0.0093399297061686
Onion,2,-0.0823534352360831,0.0190955546411823
Tomato,2,0.0112482555004912,0.0199652684568656
Wheat,2,-0.0563896569008588,0.0273793273981983
Soyabean,2,0.0109266951006794,0.00920128758181231
Onion,3,-0.0764263783513374,0.0183277062027105
Tomato,3,-0.00353442362131622,0.0198266052333112
Wheat,3,-0.0599738847695216,0.0279806518093615
Soyabean,3,0.0116507303383031,0.00935096175824062
