spec,label,tau_bc,se_rb,pv_rb,ci_lo,ci_hi,bw_l,bw_r,n_eff,n_total,stars
nl_growth,NL Growth (post-pre)/pre,0.169919285571156,0.0763102771563695,0.0259680390753753,0.0203538906944024,0.31948468044791,9.89945471905769,9.89945471905769,1040,1767,**
nl_change,NL Change (post - pre),46.6607451090317,213.113577590458,0.826690724765169,-371.034191584748,464.355681802812,9.39829000965592,9.39829000965592,992,1767,""
log_nl_post,Log NL Post (ctrl pre),0.0821755113185675,0.0402311381090585,0.0410935567285335,0.00332392956775597,0.161027093069379,8.34740760643156,8.34740760643156,902,1767,**
nl_growth_nocov,NL Growth (no covs),0.132321924741035,0.0753265173219156,0.0789783949082481,-0.0153153362907516,0.279959185772823,10.8907439472344,10.8907439472344,1249,2034,*
nl_growth_cluster,NL Growth (state clust),0.170433458186044,0.0977912063202406,0.0813632963325319,-0.0212337842063531,0.362100700578441,10.4841091995399,10.4841091995399,1075,1767,*
vd_lev_pc11_vd_power_all,Electricity (all sources) (level),0.0249669544519779,0.0333660911765282,0.454295338580656,-0.040429382558897,0.0903632914628527,9.73722472784838,9.73722472784838,628,1171,""
vd_lev_pc11_vd_m_sch_gov,Middle school (govt) (level),-0.183937429744206,9.03170119112945,0.983751600314727,-17.8857464834854,17.517871623997,12.445505046159,12.445505046159,716,1113,""
vd_lev_pc11_vd_s_sch_gov,Secondary school (govt) (level),-0.515888834201193,3.85820690732924,0.893630259959742,-8.07783541747017,7.04605774906778,14.2262385656647,14.2262385656647,793,1113,""
vd_lev_pc11_vd_comm_bank,Commercial bank (level),0.0245445350921513,0.0418609280572268,0.557650289405791,-0.0575013762594354,0.106590446443738,11.6781082400043,11.6781082400043,707,1163,""
vd_lev_pc11_vd_post_off,Post office (level),0.0114219668779571,0.0452010129653713,0.800505674555436,-0.0771703905988986,0.100014324354813,11.2180210323327,11.2180210323327,708,1190,""
vd_chg_chg_power_all,D Electricity (all sources),0.00395956319466925,0.0303048907539083,0.896046203723032,-0.0554369312384119,0.0633560576277504,10.5221118082741,10.5221118082741,499,854,""
vd_chg_chg_comm_bank,D Commercial bank,-3.67088102695397,1.45660114867051,0.0117298508978957,-6.52576681818784,-0.815995235720104,6.706727834717,6.706727834717,430,1063,**
vd_chg_chg_post_off,D Post office,-6.2835731114823,4.11429147811037,0.126697561425862,-14.3474362304787,1.7802900075141,9.38734612058605,9.38734612058605,567,1065,""
vd_ctrl_pc11_vd_power_all,Electricity (all sources) (ctrl 01),0.000732858921727723,0.0196793462117952,0.970293642542731,-0.0378379508926856,0.0393036687361411,9.9483679393977,9.9483679393977,475,854,""
vd_ctrl_pc11_vd_comm_bank,Commercial bank (ctrl 01),0.0433113370157074,0.041100479957482,0.291978379360281,-0.0372441234482677,0.123866797479682,12.9531898456449,12.9531898456449,715,1063,""
vd_ctrl_pc11_vd_post_off,Post office (ctrl 01),-0.00425618695448456,0.0503397243824093,0.932619731155638,-0.10292023373568,0.0944078598267104,10.5050723574857,10.5050723574857,614,1065,""
