Panel,Variable,N,Mean,SD,P25,Median,P75
Panel Variables (CSP × Quarter),Total Offences (per 10k),11658,198,93.26,143.89,183.77,238.12
Panel Variables (CSP × Quarter),Criminal Damage and Arson (per 10k),11658,21.55,8.5,15.42,19.72,25.98
Panel Variables (CSP × Quarter),Drug Offences (per 10k),11658,6.77,5.75,3.68,5.47,8.31
Panel Variables (CSP × Quarter),Miscellaneous Crimes Against Society (per 10k),11658,4.24,2.59,2.72,3.74,5.24
Panel Variables (CSP × Quarter),Possession of Weapons Offences (per 10k),11658,1.8,1.42,0.98,1.52,2.27
Panel Variables (CSP × Quarter),Public Order Offences (per 10k),11658,17.08,10.29,9.99,14.94,22.04
Panel Variables (CSP × Quarter),Robbery (per 10k),11658,2.48,3.58,0.7,1.41,2.93
Panel Variables (CSP × Quarter),Sexual Offences (per 10k),11658,6.56,2.68,4.65,6.18,8.04
Panel Variables (CSP × Quarter),Theft Offences (per 10k),11658,69.25,54.55,44.59,61.52,82.89
Panel Variables (CSP × Quarter),Violence Against the Person (per 10k),11658,68.26,29.02,47.8,63.58,84.17
Panel Variables (CSP × Quarter),Total Offences (per 10k),11658,198,93.26,143.89,183.77,238.12
Panel Variables (CSP × Quarter),Population,11658,187319.21,123378.55,110040,146114,239266
Cross-Section (CSP),Betting Density,279,0.88,0.42,0.6,0.85,1.14
Cross-Section (CSP),Shops Current,279,18,17.15,7,12,24
