Year,"M1 (Starting, £)","M6 (Top main, £)",Midpoint (£),Nominal growth (%)
2005,"19,161","28,005","23,583.0",
2006,"19,641","28,707","24,174.0",2.5
2007,"20,133","29,427","24,780.0",2.5
2008,"20,627","30,148","25,387.5",2.5
2009,"21,102","30,842","25,972.0",2.3
2010,"21,588","31,552","26,570.0",2.3
2011,"21,588","31,552","26,570.0",0
2012,"21,588","31,552","26,570.0",0
2013,"21,804","31,868","26,836.0",1
2014,"22,023","32,187","27,105.0",1
2015,"22,244","32,509","27,376.5",1
2016,"22,467","32,831","27,649.0",1
2017,"23,720","33,824","28,772.0",4.1
2018,"24,373","35,971","30,172.0",4.9
2019,"25,714","38,174","31,944.0",5.9
2020,"25,714","38,174","31,944.0",0
2021,"25,714","38,174","31,944.0",0
2022,"28,000","38,810","33,405.0",4.6
2023,"30,000","41,333","35,666.5",6.8
