year,fringe,inner_london,outer_london,rest_of_england
2010,27212.5,29884,28673.5,26570
2011,27212.5,29884,28673.5,26570
2012,27212.5,29884,28673.5,26570
2013,27427,30116.5,28900.5,26836
2014,27701.5,30417.5,29189.5,27105
2015,27978.5,30722.5,29481,27376.5
2016,28258,31029.5,29775.5,27649
2017,29250,32536,31274.5,28772
2018,30141.5,33646.5,32327.5,30172
2019,31399,35077,33710.5,31944
2020,32101.5,36323.5,34490.5,31944
2021,32101.5,36323.5,34490.5,31944
2022,32911.5,38053,35716.5,33405
2023,34984.5,40559,38219,35666.5
