year,estimate,se,t,p,ci_lo,ci_hi
2009,-0.0595522311908528,0.0354203959943725,-1.68129772463058,0.0927050996420143,-0.128976207339823,0.00987174495811737
2010,-0.0423451432574431,0.0243232316202938,-1.74093409619604,0.0816951312511411,-0.0900186772332188,0.00532839071833269
2011,-0.0190511754531614,0.0241010371217446,-0.790471188311348,0.429252642011405,-0.0662892082117808,0.028186857305458
2012,-0.0111473647747432,0.0312489118630999,-0.356728094199864,0.721295371343544,-0.0723952320264189,0.0501005024769326
2013,-0.0357568879302363,0.020537501259045,-1.74105347477403,0.0816742055371122,-0.0760103903979645,0.00449661453749189
2014,-0.049883069971254,0.0225229155512441,-2.2147696579406,0.0267758788546579,-0.0940279844516925,-0.00573815549081558
2015,0,0,,,0,0
2016,-0.0279020631508624,0.0314983230844169,-0.885826939932125,0.375710790447148,-0.0896387763963195,0.0338346500945947
2017,-0.0179162384653817,0.0450751473161959,-0.397474873231179,0.69101731197179,-0.106263527205126,0.0704310502743622
2018,-0.0423793380542816,0.0304480716120938,-1.39185622637096,0.163965939553042,-0.102057558413985,0.0172988823054221
2019,-0.0849041891133186,0.0403863536220545,-2.10229895741203,0.0355270958613963,-0.164061442212545,-0.00574693601409171
2020,-0.123906249472177,0.0294709229041682,-4.20435592991398,2.61826646259978e-05,-0.181669258364347,-0.0661432405800077
2021,-0.0969461991020168,0.0298111379778936,-3.25201269317217,0.00114590904327863,-0.155376029538688,-0.0385163686653454
2022,-0.0887209060446359,0.0515668075239806,-1.72050414413142,0.0853408410327881,-0.189791848791638,0.0123500367023661
2023,-0.13495209784829,0.0476218385972551,-2.83382796262026,0.00459940856062745,-0.22829090149891,-0.0416132941976703
2024,-0.0830259740536586,0.0889913585624937,-0.932966699180731,0.350837162372168,-0.257449036836146,0.091397088728829
2025,-0.085995533828047,0.087685933063045,-0.980722116125711,0.32672979455561,-0.257859962631615,0.0858688949755213
