year,in_flood_zone,share_new_build,n_new_build,n_total
2005,FALSE,0.114453978925947,112933,986711
2006,FALSE,0.102261571140424,126038,1232506
2007,FALSE,0.0791895123720126,93575,1181659
2008,FALSE,0.11644876912841,70009,601200
2009,FALSE,0.104418085990148,60584,580206
2010,FALSE,0.0895235034098085,55148,616017
2011,FALSE,0.0896655916411748,55077,614249
2012,FALSE,0.0972929324125861,60484,621669
2013,FALSE,0.0966547396847908,71152,736146
2014,FALSE,0.0944546293707275,80735,854749
2015,FALSE,0.108077064319211,92117,852327
2016,FALSE,0.118581219043295,101342,854621
2017,FALSE,0.121860938593997,101992,836954
2018,FALSE,0.132290502239418,106746,806906
2019,FALSE,0.137651999006513,106964,777061
2020,FALSE,0.134919510523235,94280,698787
2022,FALSE,0.13196134102333,111129,842133
2023,FALSE,0.116803147249364,76482,654794
2024,FALSE,0.0938190724626138,65961,703066
2025,FALSE,0.0358393323932745,21731,606345
2021,FALSE,0.113021856947174,113865,1007460
2005,TRUE,0.168634624979212,4056,24052
2006,TRUE,0.146597385182702,4373,29830
2007,TRUE,0.127269066872463,3793,29803
2009,TRUE,0.134680134680135,1880,13959
2010,TRUE,0.110118429254103,1590,14439
2011,TRUE,0.111179571438351,1624,14607
2012,TRUE,0.119361222957756,1749,14653
2013,TRUE,0.110141766630316,1919,17423
2014,TRUE,0.10318320685917,2094,20294
2016,TRUE,0.0958224804648367,1913,19964
2017,TRUE,0.100497359380608,1960,19503
2018,TRUE,0.118824463860207,2244,18885
2020,TRUE,0.0748742032874874,1116,14905
2022,TRUE,0.0244039270687237,435,17825
2023,TRUE,0.0162306381086489,219,13493
2024,TRUE,0.0110387772431361,156,14132
2025,TRUE,0.00353277209861696,47,13304
2019,TRUE,0.123445825932504,2224,18016
2021,TRUE,0.0445167797542637,971,21812
2015,TRUE,0.113675006072383,2340,20585
2008,TRUE,0.16667749691338,2565,15389
