"State","Must-Access Year","Naloxone Law","Good Samaritan"
"KY",2012,NA,NA
"NM",2012,NA,NA
"WV",2012,NA,NA
"NY",2013,NA,NA
"TN",2013,NA,NA
"VT",2013,NA,NA
"GA",2014,NA,NA
"IN",2014,NA,NA
"MA",2014,NA,NA
"CT",2015,NA,NA
"NJ",2015,NA,NA
"NV",2015,NA,NA
"OH",2015,NA,NA
"OK",2015,NA,NA
"VA",2015,NA,NA
"DC",2016,NA,NA
"NH",2016,NA,NA
"PA",2016,NA,NA
"RI",2016,NA,NA
"AR",2017,NA,NA
"AZ",2017,NA,NA
"MN",2017,NA,NA
"ND",2017,NA,NA
"NE",2017,NA,NA
"SC",2017,NA,NA
"UT",2017,NA,NA
"WA",2017,NA,NA
"WI",2017,NA,NA
"FL",2018,NA,NA
"IL",2018,NA,NA
"LA",2018,NA,NA
"MD",2018,NA,NA
"MI",2018,NA,NA
"MS",2018,NA,NA
"AL",2019,NA,NA
"CO",2019,NA,NA
