Outcome,Specification,Coefficient,SE,p_value,N_obs
Ag Share,TWFE,-0.0420,0.0150,0.005,9234
Mfg Share,TWFE,0.0310,0.0110,0.005,9234
Ag->Mfg Transition,TWFE,0.0180,0.0080,0.025,6156
Ag->Mfg (conditional),TWFE,0.0350,0.0140,0.012,6156
Occ Change Rate,TWFE,0.0120,0.0060,0.045,6156
Farm Exit Rate,TWFE,0.0250,0.0100,0.012,6156
Ag Share,TWFE (weighted),-0.0380,0.0130,0.003,9234
Mfg Share,TWFE (weighted),0.0280,0.0100,0.005,9234
Ag Share,TWFE + controls,-0.0410,0.0140,0.003,9234
Mfg Share,TWFE + controls,0.0300,0.0100,0.003,9234
