Source,Farmer,Farm Labor,Laborer,Operative,Craftsman,Service,Sales,Clerical,Manager,Professional,Not Working,Unclassified
Farmer,-2.91,-0.09,0.30,0.52,0.78,0.08,0.23,0.11,0.52,0.09,0.04,0.34
Farm Labor,1.69,-4.76,0.60,0.93,0.46,-0.08,0.08,-0.01,-0.06,-0.02,0.82,0.35
Laborer,1.02,0.21,2.55,1.83,3.63,0.39,0.88,0.50,1.99,0.34,1.17,1.29
Operative,0.04,-0.00,0.14,1.25,1.18,0.12,0.46,0.23,1.03,0.18,0.29,0.63
Craftsman,-0.07,0.05,0.45,0.85,3.15,0.20,0.60,0.31,1.45,0.20,1.70,1.12
Service,0.47,0.09,0.48,0.83,2.52,10.03,0.78,0.45,1.87,0.34,1.14,1.00
Sales,0.99,0.15,0.55,0.93,1.07,0.11,-0.86,0.29,1.45,0.31,1.50,1.22
Clerical,3.29,0.53,1.98,2.76,3.76,0.61,1.31,1.69,2.67,0.67,1.70,2.10
Manager,2.20,0.42,1.52,2.11,3.30,0.55,1.17,0.70,4.96,0.62,1.93,1.58
Professional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Not Working,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Unclassified,-0.95,-0.11,-0.22,-0.03,0.11,-0.00,0.23,0.03,0.48,-0.02,-0.03,0.52
