sample,variable,n,mean,sd,median,p25,p75
Full Sample,cited_by_count,1845,38.8921409214092,380.136146646183,5,0,23
Full Sample,cite_1y,1845,4.27479674796748,35.5057026830899,0,0,3
Full Sample,cite_3y,1845,9.89485094850948,121.065854869728,1,0,6
Full Sample,cite_5y,1845,15.049864498645,226.06953728899,1,0,7
Full Sample,n_authors,7412,2.78467350242849,1.54255687227629,3,2,3
Full Sample,n_categories,7412,2.12398812736104,1.00148687941163,2,1,3
Full Sample,abstract_length,7412,968.246627091203,359.732254210583,930,710,1183
Full Sample,position_pctile,7412,0.573757539812485,0.29581934296477,0.571428571428571,0.333333333333333,0.833333333333333
Full Sample,batch_size,7412,31.0682676740421,41.3202954216272,10,6,61
RDD Sample (±120 min),cited_by_count,289,25.0968858131488,68.0364814108443,6,1,23
RDD Sample (±120 min),cite_1y,289,3.77162629757785,16.9434237627554,1,0,3
RDD Sample (±120 min),cite_3y,289,9.76470588235294,47.708315138279,2,0,7
RDD Sample (±120 min),cite_5y,289,13.0968858131488,51.9899592067903,3,0,11
RDD Sample (±120 min),n_authors,1820,2.82802197802198,1.67002662807937,3,2,4
RDD Sample (±120 min),n_categories,1820,2.21483516483517,1.03617882040489,2,1,3
RDD Sample (±120 min),abstract_length,1820,972.870879120879,378.078800318748,927.5,702.75,1181.25
RDD Sample (±120 min),position_pctile,1820,0.595898440829275,0.332825382847742,0.530583613916947,0.285714285714286,1
RDD Sample (±120 min),batch_size,1820,42.6818681318681,60.6177779958362,10,6,73
