dept_excluded,coefficient,se,n_obs
01,-6.24786239059172e-05,0.00043673178526224,5373176
02,-7.07218849147858e-05,0.000437538635677774,5383164
03,-4.48100239129717e-05,0.000436520206526772,5384356
04,-5.83158118797092e-05,0.000435663755333561,5405956
05,-5.26791555023429e-05,0.00043942452435575,5406142
06,-4.59756583078949e-05,0.000436097284289682,5274274
07,-4.70989806655227e-05,0.0004373840722464,5395039
08,-7.30042658690617e-05,0.000436144369502553,5404615
09,-6.09139530187562e-05,0.000438825201041846,5408692
10,-5.54942940223262e-05,0.00043549615942994,5399374
11,-9.74251058645511e-06,0.000440192158760273,5376841
12,-8.95315527919406e-05,0.000437623561222766,5398770
13,-2.52501486007605e-05,0.000439651205952218,5335958
14,-1.51566946193567e-05,0.000436863760272094,5341898
15,-5.82222756264882e-05,0.000435875492649992,5412021
16,-5.73464684725048e-05,0.000436529822907738,5387751
17,-6.82316885094303e-05,0.000437789156476738,5346371
18,-5.56199337651495e-05,0.000435699901821974,5392926
19,-7.92984356138288e-05,0.000436186201098764,5399587
21,-0.000119842905135639,0.00043536778344477,5376402
22,-3.97176388248419e-05,0.000441926515129203,5351819
23,-5.85126700457627e-05,0.00043550296084541,5411321
24,-7.6664514137231e-05,0.000444458125416825,5369547
25,-5.6612863137068e-05,0.000435323927397193,5379067
26,-4.7455942982287e-05,0.000436345200601994,5379036
27,-7.54050788357833e-05,0.000437868123131753,5363584
28,-5.10291163871633e-05,0.000435517508201153,5385176
29,-7.34059268552363e-05,0.00043592937185591,5330191
2A,-8.58807089971563e-05,0.000433868946518078,5413685
2B,-6.3682146642961e-05,0.00043483019837548,5413660
30,-3.47753318411004e-05,0.000439043685219861,5349706
31,-3.92768841809356e-05,0.000449669294456109,5307544
32,-5.17172830987474e-05,0.000437550143329632,5406756
33,-0.000128949732545547,0.000436394237749546,5276906
34,-0.00019836938060637,0.000422423669063792,5292382
35,-3.93545098618645e-05,0.0004371962008908,5333252
36,-7.24551065951716e-05,0.000435088459719926,5403674
37,-4.82757079100815e-05,0.000437037029199067,5369284
38,-5.98177258435795e-05,0.000440315650502005,5322258
39,-5.39753014686343e-05,0.000435384287381727,5401367
40,-6.57830942138275e-05,0.000436392958867353,5379672
41,-5.38610946247199e-05,0.000436140397678181,5391881
42,-5.91837063274456e-05,0.000434312196917641,5353516
43,-7.7290372432829e-05,0.000435944516526036,5405087
44,-7.60951965263077e-05,0.000439404917582341,5298731
45,-6.62995597913526e-05,0.000437870049641714,5363082
46,-5.10675828186866e-05,0.000442262820008164,5405359
47,-3.35282348753413e-05,0.000440355240227032,5386238
48,-6.34748755576487e-05,0.000438501243159566,5420075
49,-5.73404876008935e-05,0.000436582143382975,5357472
50,-6.33756016449978e-05,0.00043601838194828,5368519
51,-6.59821937229393e-05,0.000435277281085996,5383452
52,-6.38915167824052e-05,0.000434915747272954,5412150
53,-4.75290911315317e-05,0.000435867648958712,5395193
54,-3.14073232982969e-05,0.000439457954845169,5361575
55,-5.93558492797229e-05,0.000435841846720924,5410177
56,-4.77953428652809e-05,0.000438094296114561,5341596
58,-8.63885231237611e-05,0.000435231951496548,5401613
59,0.000242130760051334,0.000355996524207284,5223492
60,-3.73921013928918e-05,0.000438727177133755,5363627
61,-4.88131715497646e-05,0.000436113965058597,5393508
62,-3.21915225933968e-05,0.00044595201474024,5316461
63,-8.76724902619848e-05,0.000441246224016605,5364318
64,2.02268983356416e-05,0.000432385495074321,5358602
65,-6.48837892319818e-05,0.000437065807468948,5399655
66,-4.34329204256287e-05,0.000438634227484967,5358568
69,-6.23464423856952e-05,0.000439426206606693,5327427
70,-6.31928938276302e-05,0.00043545204341241,5406249
71,-4.72871686379899e-05,0.00043741826436078,5370867
72,-3.907641749717e-05,0.000436543347390083,5369641
73,-0.000186075383204599,0.000430040722190938,5373932
74,-3.99895017202311e-05,0.000441527765274765,5343053
76,-3.06167408187048e-05,0.000443028331099478,5308187
77,-0.000131627033002414,0.000433191449220028,5316711
78,1.66847406169901e-05,0.000445688892489426,5328892
79,-9.92073458522063e-05,0.000433525532741089,5386538
80,-2.33766905972257e-05,0.000438561910718513,5376801
81,-5.15931820821637e-05,0.000438189894787481,5390333
82,-4.83757027025633e-05,0.00044081981246757,5400586
83,3.26626623771559e-05,0.000445146844016178,5266032
84,-2.57687876186507e-05,0.000435321864499262,5374215
85,1.25802353939206e-06,0.000435889799222701,5347181
86,-7.30845756752634e-05,0.000435926894589405,5382740
87,-6.94917712656306e-05,0.000437295035832354,5385928
88,-6.18917813463403e-05,0.000435312619707582,5389208
89,-7.55704303654112e-05,0.000435285522188264,5391085
90,-4.83552815516761e-05,0.00043580771320919,5415208
91,1.88091346031672e-05,0.000442673094172605,5342469
92,-2.45634544635299e-05,0.000442093184124532,5326845
93,1.92433259766721e-05,0.000442374824981703,5349171
94,2.0842243083107e-05,0.000446837813912539,5346028
95,-7.55772297443138e-05,0.000440271124551706,5352423
